SKU,Barcode,Slug,Title,Status,Product Description,Stock Status,Quantity,Collections,Category,Sub Category,Settings/Size,Featured,Backorders allowed,Sold Individually,HUID,Min shipping days,Max shipping days,Metal Type,Metal Color,Gold Purity,Gold Gross,Gold Net,Silver Purity,Silver Gross,Silver Net,Platinum Purity,Platinum Gross,Platinum Net,Diamond From,Diamond Weight,Diamond Pieces,Diamond Type,Diamond Quality,Diamond Shapes,Diamond Cut,Custom Diamond Rate,Diamond Certified,Diamond Lab,Diamond Certificate ID,Gemstone From,Gemstone Quality,Gemstone Shape,Gemstone Type,Gemstone Size,Gemstone Pieces,Gemstone Weight,Custom Gemstone Rate,Gemstone Color,No. of Lines,Length,Closure Type,Pearl Type,Pearl Setting Type,Pearl Size,Pearl Pieces,Pearl Weight,Labour Type,Labour From,Per Gram,Wastage From,Wastage in (%),Minimum Making,Extra Charge Type,Extra Charge Value,SEO Title,SEO Description,SEO Keywords,Width (in mm),Height (in mm),Thickness (in mm),Tags,Gender,Ocassions,Manual Product Price (MRP),Sale Price,Automatic Price,Disable Customization,Upsell,Cross Sell,Images,Images Links,Video URL,Product Link,Rings Size,Bangles and Bracelet Size,Product Length
SJPEE-1159,,sjpee-1159,SJPEE-1159,draft,,outofstock,,"Diamond Jewellery,Gold Jewellery",BANGLE,,,,,,,5,10,gold,yellow,22KT,2.93,2.874,,,,,,,customize,0.280,14,Natural,VS2-DE,Round,Good,78900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47386,,,,"SJPEE-1159,SJPEE-1159","https://tiarabytj.com/wp-content/uploads/sites/27/2024/05/SJPEE-1159.jpg,https://tiarabytj.com/wp-content/uploads/sites/27/2024/05/SJPEE-1159.jpg",,,,,
SJPEE-1166,,sjpee-1166,SJPEE-1166,publish,,outofstock,,"Diamond Jewellery,Gold Jewellery",BANGLE,,,,,,,5,10,gold,yellow,22KT,4.236,4.2,,,,,,,customize,0.180,12,Natural,VS2-DE,Round,Good,78900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48774,,,,"SJPEE-1166,SJPEE-1166","https://tiarabytj.com/wp-content/uploads/sites/27/2024/05/SJPEE-1166.jpg,https://tiarabytj.com/wp-content/uploads/sites/27/2024/05/SJPEE-1166.jpg",,https://tiarabytj.com/product/sjpee-1166/,,,
SJPEP-1124,,sjpep-1124,SJPEP-1124,draft,,outofstock,,"Diamond Jewellery,Gold Jewellery",BANGLE,,,,,,,5,10,gold,yellow,22KT,1.095,1.067,,,,,,,customize,0.140,8,Natural,VS2-DE,Round,Good,78900,no,,,master,,,,,,,,,,,,,,,,,master,gross,399,,10,,,,,,,0,0,0,,,,,,20582,,,,SJPEP-1124-1,https://tiarabytj.com/wp-content/uploads/sites/27/2024/05/SJPEP-1124-1.jpg,,,,,
SJPEE-1124,,sjpee-1124,SJPEE-1124,draft,,outofstock,,"Diamond Jewellery,Gold Jewellery",BANGLE,,,,,,,5,10,gold,yellow,22KT,2.32,2.284,,,,,,,individual,0.180,16,Natural,VS2-DE,Round,Good,78900,no,,,master,,,,,,,,,,,,,,,,,master,gross,399,,10,,,,,,,,,,,,,,,34131,no,,,"SJPEE-1124,SJPEE-1124","https://tiarabytj.com/wp-content/uploads/sites/27/2024/05/SJPEE-1124.jpg,https://tiarabytj.com/wp-content/uploads/sites/27/2024/05/SJPEE-1124.jpg",,,,,
SJER-87,,sjer-87,SJER-87,draft,,outofstock,,"Diamond Jewellery,Gold Jewellery",BANGLE,,,,,,,5,10,gold,yellow,22KT,7.906,7.8,,,,,,,customize,0.528,88,Natural,VS2-DE,Round,Good,78900,no,,,master,,,,,,,,,,,,,,,,,master,gross,399,,10,,,,,,,0,0,0,,,,,,109372,,,,SJER-87-1,https://tiarabytj.com/wp-content/uploads/sites/27/2024/05/SJER-87-1.jpg,,,,,
ERG-1788,,erg-1788,ERG-1788,draft,,outofstock,,"Diamond Jewellery,Gold Jewellery",BANGLE,,,,,,,5,10,gold,yellow,22KT,2.56,2.498,,,,,,,customize,0.310,39,Natural,VS2-DE,Round,Good,78900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46714,,,,"ERG-1788,ERG-1788","https://tiarabytj.com/wp-content/uploads/sites/27/2024/05/ERG-1788.jpg,https://tiarabytj.com/wp-content/uploads/sites/27/2024/05/ERG-1788.jpg",,,,,
SJPEE-1142,,sjpee-1142,SJPEE-1142,draft,,outofstock,,"Diamond Jewellery,Gold Jewellery",BANGLE,,,,,,,5,10,gold,yellow,22KT,2.738,2.7,,,,,,,customize,0.190,10,Natural,VS2-DE,Round,Good,78900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38458,,,,"SJPEE-1142,SJPEE-1142","https://tiarabytj.com/wp-content/uploads/sites/27/2024/05/SJPEE-1142.jpg,https://tiarabytj.com/wp-content/uploads/sites/27/2024/05/SJPEE-1142.jpg",,,,,
ERG-1706,,erg-1706,ERG-1706,draft,,instock,1,"Diamond Jewellery,Gold Jewellery",BANGLE,,,,,,,5,10,gold,yellow,22KT,3.839,3.673,,,,,,,customize,0.830,79,Natural,VS2-DE,Round,Good,78900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99725,,,,"ERG-1706,ERG-1706","https://tiarabytj.com/wp-content/uploads/sites/27/2024/05/ERG-1706.jpg,https://tiarabytj.com/wp-content/uploads/sites/27/2024/05/ERG-1706.jpg",,,,,
ERG-1761,,erg-1761,ERG-1761,draft,,outofstock,,"Diamond Jewellery,Gold Jewellery",BANGLE,,,,,,,5,10,gold,yellow,22KT,3.61,3.536,,,,,,,customize,0.370,24,Natural,VS2-DE,Round,Good,78900,no,,,master,,,,,,,,,,,,,,,,,master,gross,399,,10,,,,,,,0,0,0,,,,,,60417,,,,ERG-1761-1,https://tiarabytj.com/wp-content/uploads/sites/27/2024/05/ERG-1761-1.jpg,,,,,
ERG-1760,,erg-1760,ERG-1760,draft,,instock,1,"Diamond Jewellery,Gold Jewellery",BANGLE,,,,,,,5,10,gold,yellow,22KT,3.53,3.398,,,,,,,customize,0.660,43,Natural,VS2-DE,Round,Good,78900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83312,,,,"ERG-1760,ERG-1760","https://tiarabytj.com/wp-content/uploads/sites/27/2024/05/ERG-1760.jpg,https://tiarabytj.com/wp-content/uploads/sites/27/2024/05/ERG-1760.jpg",,,,,
